宸纶,1.帝王的诏书﹑制令。
闯见,1.突然进来碰见。
闯江湖,1.旧指以算卦相面﹑表演杂耍﹑卖药治病等为职业，奔走四方以谋生计的活动。
闯将,"1.明末农民起义领袖李自成等初起兵时的称号。 
2.勇往直前，敢于开创的人。"
闯将(-ｊｉàｎｇ),勇猛敢于冲杀的将领。常比喻勇猛无畏，敢作敢为的人中国文坛的闯将。
闯门,1.在门内引头而望。
闯南走北,1.奔走四方。
闯事,1.惹起事端。
闯伺,1.探头窥伺。
闯突,1.突然攻入;突破。
闯王,1.明末农民起义领袖高迎祥﹑李自成的称号。高迎祥率饥民起义时自称闯王。他牺牲后，所部共推李自成为闯王。又称李闯王。参阅《明史．流贼传．李自成》。
衬背,1.装裱书画时衬在背后的纸或绢。
衬搭,"1.见""衬褡""。"
衬褡,"1.亦作""衬搭""。 
2.指背心﹑背搭之类贴身内衣。 
3.引申为陪伴，搭当。"
衬道袍,1.指明代宫廷内臣所穿二色衣的第二层直裰。
衬饭,1.斋供的饭食。
衬供,"1.旧俗祭祀时，以三牲为正当供品，而以蜜供﹑月饼相衬，谓之""衬供""。"
衬甲,1.元代仪卫服饰名。
衬金,"1.施舍给僧道的钱物。衬，通""嚫""。"
衬句,"1.曲词中在曲律规定的字数之外，为了补足语气，增加声情色彩的需要而增加的句子。详""衬字""。"
衬裤,1.穿在里面的单裤。
衬里,1.缝制衣服时衬在里面的布。
衬履,1.衬垫鞋子的布。
衬袍,1.元代仪卫服饰名。衬在裲裆甲里面的长衣。
衬铺,1.犹填挡。
衬钱,"1.见""衬施钱""。"
衬裙,1.穿在里层的裙子。
衬绒,1.指一种专供衬在衣服里的绒布。
衬施,"1.施舍财物给僧道。亦指所施舍的财物。衬，通""嚫""。"
衬施钱,"1.施舍给僧道的钱物。衬，通""嚫""。"
衬手,1.顺手;趁手。
衬贴,"1.衬托，配衬。 
2.谓用文字衬托以求工整贴切。"
衬托,用另一事物来陪衬或对照以突出原有的事物蓝天衬托着白┰疲用背景衬托主体。
衬衣,1.穿在外衣里面的单上衣。
衬映,衬托映照可惜樱花没有叶子衬映｜高楼上的彩灯互相衬映着。
衬褶袍,1.明代的一种便服。
衬装,1.用纸衬托﹑修补装订。
衬资,"1.即衬施钱。衬，通""嚫""。"
衬字,1.曲词中在曲律规定的字数之外增加的字。常用以补足语气，增加声情色彩。它在歌唱时不占重要拍子，不能用于句末，不能做韵脚。字数不论，一般小令衬字少，套数多，杂剧更多。也称垫字。
称爱,1.称赞爱重。
称霸,"1.当诸侯各国的首领。 
2.比喻在某一方面居首要地位。"
称褒,1.赞扬。
称悲,1.犹举哀。
称比,1.犹比喻。
称便,1.认为方便。
称兵,1.举兵。谓动用武力﹐发动战争。
称病,1.借口生病。
称伯,"1.做霸主。伯﹐通""霸""。"
称才,1.美才﹐贤才。
称材,1.贤才﹐美才。
称财,1.衡量财产。
称柴而爨,"1.见""称薪而爨""。"
称臣,"1.犹臣服。 
2.谓出任官职。"
称陈,1.犹称述。
扯倒,1.拉倒。犹算了，作罢。
扯翻,1.将人向前拉倒在地。
扯风,1.抽风。指手脚痉挛﹑口眼歪斜的病症。
扯鼓夺旗,1.形容作战勇敢。
扯后腿,1.比喻利用亲密的关系和感情牵制别人的行动。多含贬义。
扯谎,说假话骗人教育孩子不扯谎。
扯鸡骂狗,1.犹指桑骂槐。
扯娇,1.撒娇。
扯拉,"1.说闲话;闲谈。 
2.牵扯;牵连。 
3.拉，拽。"
扯烂污,"1.方言。同""拆烂污""。比喻不负责任而坏事。"
扯里狲,1.猞猁的别名。毛可做皮衣等，极贵重。
扯铃,"1.传统杂技节目。即抖空竹。参见""抖空竹""。"
扯掳,1.缰绳。
扯攞,1.揪拉，撕扯。
扯络,1.缰绳。
扯落,1.牵扯，牵连。
扯篷拉纤,1.比喻从事不正当的介绍撮合以从中取利。
扯旗放炮,1.比喻公开张扬。
扯气,1.方言。生气。
扯劝,1.劝解。
扯臊,1.胡说，胡扯。
扯手,1.缰绳。
扯首,1.缰绳。
扯顺风旗,1.比喻顺势迎合，奉承别人。
扯谈,1.拉杂交谈。
扯天扯地,"1.漫无边际貌。 
2.指宽大。"
扯头,1.带头。
扯腿,"1.扯后腿。 
2.拔腿。"
扯纤拉烟,1.犹扯篷拉纤。
扯闲篇,1.闲谈，说闲话。
扯挦,1.拉孜取。
扯线宫戏,1.即木偶戏。
扯叶儿,1.做作;摆架子。
扯直,1.两下拉平。
扯拽,"1.牵拉;拉拽。 
2.胡扯。 
3.勉强谋求。"
扯捽,1.拉住。
撦裂,1.撕碎。
撦冶,1.吐艳。
撦磔,1.撕裂。
撦拽,1.牵拉。
屮躥,1.草鞋。
屮穢,1.草稿。未写定的文稿。
屮茅,1.草茅。指在野未作官的人。
屮昧,1.蒙昧。原始未开化的状态。
屮实,1.草籽。
彻案,"1.见""彻案""。"
彻白,1.透白。
彻备,1.撤除防卫。
彻编,1.编撰完毕。
彻兵,1.撤军。
彻查,1.彻底调查。
彻彻,1.明白通达貌。
彻达,1.通达。
彻胆,1.犹言彻头彻尾，彻底。
彻旦,1.达旦，直至天明。
彻底,"1.通透到底。形容深透﹑完全而无所遗留。 
2.形容水清见底。"
彻歌,1.撤祭器而歌。
彻官,1.犹达官。姓名达于天子之官。
彻侯,1.爵位名。秦统一后所建立的二十级军功爵中的最高级『初因袭之，多授予有功的异姓大臣，受爵者还能以县立国◇避武帝讳，改称通侯或列侯。新莽时废◇用以泛指侯伯高官。
彻棘,1.撤除试院门前棘枝。谓科举考试发榜后解禁◇多借指考试事务完毕。
彻简,1.犹完稿。
彻鉴,1.明鉴;洞察。
彻卷,1.毕卷。谓读竟全卷。
彻朗,"1.犹清明。指心地清净光明。彻，同""澈""。"
彻乐,"1.古代遇有灾患病故或天象变异时，帝王或卿大夫撤除乐器，以示忧戚。 
2.借指逝世。"
彻里彻外,"1.从里到外。 
2.犹言完完全全。"
彻里至外,"1.见""彻里彻外""。"
彻帘,1.封建时代，君主年幼，其祖母或母亲当政，称垂帘，归政则称彻帘。
彻幂,"1.见""彻幂""。"
彻明,1.犹彻旦。
彻命,1.谓达其使命。
彻内彻外,"1.见""彻里彻外""。"
彻贫,1.谓贫困之极。
彻齐,1.撤去祭祀斋物。
彻瑟,"1.古代士遇父母或己有疾，撤去琴瑟，以示忧戚，或表示思静。《仪礼．既夕礼》""有疾，疾者齐，养者皆齐，彻琴瑟。""贾公彦疏""今以父母有疾，忧不在于乐，故去之。""后以""彻瑟""指临终。"
彻膳,1.古代遇有灾患变异时，帝王撤减膳食，以示自责。
彻上彻下,1.贯通上下;通达上下。
彻梢,1.犹言彻头彻尾。
彻身,1.犹闪身，抽身。
彻曙,1.犹彻旦。
彻天,"1.上达云天。形容盛大。 
2.上达云天。形容高。 
3.上达云天。形容声音响亮。 
4.整天。"
彻田,1.垦治田地。
彻盷,1.谓目明而转视貌。
彻听,"1.形容听力极强，无所不闻。 
2.犹言上达尊听。表敬之辞。"
彻头,1.犹到头;尽头。
彻头彻尾,"1.从头到尾;自始至终。 
2.犹言完完全全。"
彻悟,1.谓看透世事，有所领悟。
彻席,1.人死的婉辞。
彻县,"1.亦作""彻悬""。 
2.古代君王或卿大夫遇有灾患疾病，即撤去悬挂的钟磬之类乐器，表示不敢贪图逸乐。"
彻宵,1.通宵。
彻晓,1.犹彻旦。
彻行,1.指以百人为一行的队列。
彻悬,"1.见""彻县""。"
彻夜,整夜；通宵彻夜攻读｜台灯彻夜亮着。
彻扎,"1.见""彻札""。"
彻札,"1.亦作""彻扎""。 
2.谓穿透铠甲。语出《左传．成公十六年》""潘尫之党与养由基蹲甲而射之，彻七札焉""。"
彻止,1.古代良犬名。
彻重,1.谓撤去丧礼中暂代神主之物。
彻昼,1.终日。
彻馔,1.撤去食物。
彻缀,"1.《书．顾命》""兹既受命还，出缀衣于庭。越翼日乙丑，王崩。""孔传""缀衣，幄帐。群臣既退，彻出幄帐于庭。""孔颖达疏""王病重，不复能临此坐，故彻出幄帐于庭，将欲为死备也。""后因以""彻缀""为帝王死去的婉辞。"
彻俎,1.谓撤去祭祀时用以载牲的礼器。
彻坐,1.撤去座位。旧时宰相见天子议大政事，必赐坐面议。及宋范质执宰，惧面议仓卒有失，每议事则具札子进呈。坐论之礼遂废。见《宋史．范质传》。
坼副,"1.亦作""坼剖""。 
2.割裂。谓经剖割而分娩。"
坼堠,1.即斥候。侦察。亦指侦察的人。
坼嫮,"1.见""坼罅""。"
坼裂,裂开；撕裂田地坼裂｜坼裂文榜｜绝无坼裂痕｜听得坼裂声。
坼剖,"1.见""坼副""。"
坼罅,"1.亦作""坼嫮""。 
2.破裂;裂缝。"
坼兆,1.谓灼龟甲﹑兽骨占卜之时，纹裂所显示的预兆。
掣白,1.曳白。谓考试交白卷。
掣板,1.方言。安装电器开关的底板。
掣笔郎,"1.晋代王献之七八岁时学习书法，其父羲之""密从后掣其笔不得，叹曰'此儿后当复有大名!'""见《晋书．王献之传》◇因以""掣笔郎""称誉幼年善于学书者。"
掣掣,1.摇曳貌。
掣掣泄泄,1.随风飘荡貌。
掣电,1.闪电。亦以形容迅疾。
掣顿,"1.硬拉;强夺。 
2.犹困顿。"
掣获,1.取得。
掣缴,1.缴纳。
掣鲸,"1.比喻才大气雄。语本唐杜甫《戏为六绝句》之四""或看翡翠兰苕上，未掣鲸鱼碧海中。"""
掣搦,1.拘牵，牵制。
掣签,"1.见""掣签""。"
掣挈,1.抽取。
掣取,1.领取，拿取。
掣手,"1.掣肘。 
2.抽手;撒手。 
3.举手。"
掣缩,1.犹抽搭。哭泣貌。
掣所,1.古时检查私盐的机构。
掣验,1.抽查核验。清代对盐商贩盐的一种检查措施。
掣曳,"1.牵引。 
2.牵制。"
掣曳曳,1.牵引貌。
掣制,1.牵制，掣肘。
掣肘,拉着胳膊。比喻有人从旁牵制，工作受干扰暗中掣肘｜受到掣肘，工作难开展。
掣纵,1.中医指痉挛的症状。
硩采,1.开采;采掘。
硩蔟,"1.见""硩蔟氏""。"
硩陊,1.谓摘采而坠落。
撤案,1.撤去餐具。谓用完餐。
撤版,1.撤除渔。
撤保,1.保证人辞却担保责任。
撤备,1.撤去守备的军队。
撤蔀,1.除去遮蔽光明之物。喻恍然而悟。蔀﹐蔀席。
撤材,1.拆除建筑物。
撤茶,"1.逐客的表示。旧时官场﹐客来备茶。主人端茶请饮﹐表示送客﹐客当会意而辞去。""撤茶""则表示逐客。 
2.讨茶。"
撤差,1.撤职。
撤除,1.除去;取消。
撤点,1.撤消手工业或商业网点。
撤佃,1.封建地主废除租田契约﹐强行收回农民租种的土地。也称抽佃﹑退佃。
撤调,1.撤职调离。
撤防,1.撤除防备的军队和工事。
撤废,1.废除。
撤根到底,1.挖根揭底。
撤坏,1.拆毁。
撤换,1.撤除原来的﹐换上另外的。
撤回,"1.撤退回来;撤退回到。 
2.谓召回驻在外面的机构或人员。 
3.谓收回文件﹑命令等。"
撤毁,1.拆毁。
撤火,"1.撤去炉火。 
2.方言。畏惧﹐怯懦。"
撤棘,1.科举时代称考试工作结束。因放榜日关闭贡院﹐并于门口设置荆棘﹐以防落第者闯入喧闹﹐放榜后始撤去﹐故称。
撤警,1.撤去警备的军队。
撤酒,1.撤去酒席。
撤军,1.撤回军队。
不堤防,1.犹言不料。
不迪,"1.不道。 
2.不遵循。"
不抵事,1.方言。不管用，没有用。
不点实,1.不着实。
不吊,"1.谓不为天所哀悯庇佑。 
2.不吊丧。"
不调,"1.不协调。 
2.特指音调不和谐。 
3.与人合不来。"
不调贴,"1.作梗，使事情不能顺利进行。 
2.不驯顺。"
不掉,1.不振。
不迭,①不及；来不及忙回礼不迭。②不停称颂不迭。
不趃,"1.同""不殰""。"
不钉点儿,1.方言。形容极小。
不顶事,1.不抵事。
不定,"1.不安定;不稳定。 
2.没有一定。 
3.不住;不止。 
4.副词，表示数量大，说不清。"
不定方程,指未知数的个数多于方程的个数的方程或方程组。一般有无限多组解，而研究时往往对其加以某种限制，如要求方程的解必须是整数或有理数等。对于整系数的不定方程，如要求其解是整数时，称这类方程为刁番都方程”。不定方程是数论中最早研究的课题之一。
不定积分,微积分的重要概念。如果在区间i内，f′(x)=f(x)，那么函数f(x)就称为f(x)在区间i内的原函数。原函数的一般表达式ゝ(x)+c(c是任一常数)称为f(x)的不定积分，记作ИА襢(x)dx=f(x)+c，ИР⒊苀(x)为被积函数，c为积分常数。
不懂眼,1.方言。不在行，没有眼力。
不动产,动产”的对称。不能移动或者移动后引起性质、形状的变化或损失经济价值的财产。如土地、房屋等。
不动明王,1.梵名摩诃毗卢遮那(mah?vairocana)。佛教密宗菩萨名。佛经中说他奉大日如来教令，作忿怒状，能够降伏一切邪魔。
不动声色,"1.不说话，不流露感情。形容神态镇静。 
2.形容轻易，不费气力。"
不毒不发,1.谓不受凌辱就不能发愤图强而有所成就。
不渎,1.不傲慢。
不赌时,"1.同""不觛事""。"
不睹是,1.昧心负义。
不端,不正派行为不端。
不段,"1.见""不毈""。"
不断,"1.割不开。 
2.不绝;接连。 
3.不果决;不果断。"
不断气,1.形容连续不断。
不毈,"1.亦作""不段""。 
2.谓鸟卵孵育成雏。"
不对,"1.不答。 
2.不合;不睦。 
3.不够格。 
4.不正常。 
5.不正确，错误。"
不对当,1.不走运。
不对头,"1.不符合，不合拍。 
2.有问题;不正常。 
3.不好。"
不怼,1.不怨恨。
不譵,1.不顺服。亦指不顺服者。
不夺时,1.不失农时。
不恶,"1.谓不为恶声厉色。 
2.不坏;不错。"
不二法门,不二没有分别。法门入道的门径。原为佛教语。指不可思议、无所分别的绝对真理。特指超越生死两端的涅fd21！本辰纭＜《维摩诘经·入不二法门品》◇用以比喻独一无二的方法、门径勤奋是成功的不二法门。
不二门,"1.同""不二法门""。"
不二色,1.指男子爱情专一。
不二味,1.谓每餐只有一样菜。形容节俭。
不贰,"1.专一，无二心。 
2.一律;没有差异。 
3.不重复。参见""不贰过。"" 
4.没有差错。贰，通""忒""。"
不贰过,1.不重犯同样的错误。
不乏,1.不缺少。
不伐,1.不自夸耀。
不法,违法不法行为｜不法奸商。
不凡,1.不平常;杰出。
不烦,"1.无须烦劳。 
2.不急躁。 
3.不烦冗。"
不犯,"1.不犯法。 
2.不必;用不着。"
不方,1.无方。
不防事,"1.见""不妨事""。"
不妨,可以，无妨碍但说不妨｜不妨试试看。
不废江河,"1.唐杜甫《戏为六绝句》之二""王杨卢骆当时体，轻薄为文哂未休。尔曹身与名俱灭，不废江河万古流。""后以""不废江河""赞扬作家或其著作流传不朽。"
不费之惠,1.白白得到的好处。
不分,"1.不服气;不平。 
2.不料。"
不分轩轾,1.车子前高后低叫轩，前低后高叫轾。谓不分高低上下。
不分皂白,"1.《诗．大雅．桑柔》""匪言不能，胡斯畏忌""汉郑玄笺""胡之言何也，贤者见此事之是非，非不能分别皂白言之于王也。""后以""不分皂白""谓不分黑白，不辨是非。"
不忿,①不怨恨不忿黄鹂惊晓梦。②不平；不服实在气不忿｜心中有些不忿。
不丰不杀,1.不奢不俭，多少合宜。
不敷,1.不足;不够。
不伏,1.不服。
不伏烧埋,"1.不服罪;不认错。 
2.不听劝解。"
不伏手,1.不顺手，不听使。
不服,"1.不从事，不经营。 
2.不佩带。 
3.不臣服;不顺服。 
4.不甘心;不承认。 
5.不信服;不相信。 6.不习惯。"
不服气,1.不平;不心服。
不服水土,1.不能适应某地的气候﹑饮食等。
不符,1.不相合。
不甫能,"1.亦作""不付能""。 
2.才能够;好容易。不，助词，无义。"
不付能,"1.见""不甫能""。"
不复堪命,1.无法再活下去。
不该,"1.不完备;不兼备。 
2.不应当。 
3.不欠。"
不干,"1.无能，不称职。 
2.不愿意承担某种任务。"
不干不凈,"1.指粗俗，下流。 
2.淫乱的婉词。"
不干凈,"1.不干休。 
2.有干系，摆脱不了。 
3.指常闹神闹鬼。"
不尴尬,"1.亦作""不v魀""。 
2.行为端正。 
3.犹言尴尬。指行为鬼祟，神色态度不自然。不，助词，无义。 
4.事情棘手，有麻烦，使人困窘。"
不赶趟,1.方言。赶不上。
不敢,"1.谓没胆量，没勇气。亦表示没有胆量做某事。 
2.指没有胆量做某事。 
3.方言。不要。 
4.谦词。犹不敢当。"
不敢高攀,"1.《乐府诗集．清商曲辞二．碧玉歌》""碧玉小家女，不敢贵德攀。感郎意气重，遂得结金兰。""俗语""不敢高攀""本此。言不敢跟社会地位比自己高的人交朋友或结成亲戚。"
不敢越雷池一步,语出庾亮《报温峤书》吾忧西陲过于历阳，足下无过雷池(湖名)一步也。”后用以形容谨小慎微。
不纲,"1.《论语．述而》""子钓而不纲。""纲是网上端总绳，引申指大网。谓孔子不用大网横断流水以取鱼◇以""不纲""谓朝廷失去纲纪，政治混乱。"
不搁当儿,1.不恰当，不得当。
不格,"1.不至。 
2.不可相斗。"
不给,"1.供给不足;匮乏。 
2.犹言不暇，来不及。"
不根,1.没有根据;荒谬。
不更事,1.不经事;不懂事。
不功,1.无功。
不共,"1.不恭。共，""恭""的古字。 
2.不具备。"
不共戴天,不能共存于世。指仇恨极深，势不两立不共戴天的死敌。
不勾,1.不够;不到。
不苟,1.不随便;不马虎。
不苟言笑,不随便言笑，指态度严肃庄重天性沉默，不苟言笑。
不彀,1.不到;不够。
不辜,"1.无罪。 
2.指无罪之人。 
3.不必，不一定。"
不毂,1.古代王﹑侯自称的谦词。
不古,1.不淳朴;浇薄。
不谷,"1.不得养;不得相养。 
2.不善。古代王侯自称的谦词。 
3.不长五谷。"
不蛊,1.古谓不受邪气侵害。
不挂眼,1.不看在眼里。
不怪,"1.不怪异。 
2.不责备;不埋怨。"
不关,1.不牵涉;不涉及。
不关风,1.关不住风，漏风。
不关紧要,1.不重要;不影响大局。
不官,"1.不担任官职。 
2.不任以官职。 
3.非官方的。指通过不正当的途径。 
4.不到官府，犹言不自首。"
不管,"1.不顾，不考虑。 
2.不过问。 
3.不关，不涉及。 
4.连词。不论。"
不管不顾,"1.不照管。 
2.形容人莽撞。"
不惯,"1.未经驯顺。 
2.不习惯。"
不广,1.谓气度不大。
不归,"1.不返家。 
2.不归还。"
不轨,越出正轨，不合法度图谋不轨。
不果,没有结果；未成事实前守欲请诸朝，作新庙，不果。
不过,"1.无差错。 
2.不超越;不能超越。 
3.不经过;不进入。 
4.不能通过，有阻碍。 
5.过意不去。 6.用在动词或形容词后面，表示程度最高。意谓到了极点。 7.副词。只;仅仅。 8.连词。只要。 9.连词。只是。 10.螳螂的别名。"
不过尔尔,1.不过如此而已。
不过如此,1.只是这样，谓并不怎么特出。
不含糊,"1.谓不含混其事。 
2.好，不错。"
不寒而栗,不冷而发抖，形容非常恐惧想到要冒极大风险，使人不寒而栗。
不好活,1.方言。犹言不好受，不痛快。
不好看,"1.不体面，不光采。 
2.谓难堪。"
不好意思,"1.表示碍于情面而只能怎样或不便怎样。 
2.害羞;难为情。"
不合,"1.违背;不符合。 
2.不和。 
3.不应当;不该。"
不合节,1.谓办事不顺当;不协调。
不和,"1.不和睦。 
2.不调和;不和谐。 
3.不和悦。 
4.身体不舒服。"
不护细行,"1.不注意小节。语本《书．旅獒》""不矜细行，终累大德。"""
不华,"1.不开花。华，同""花""。"
不化,"1.不变。 
2.不朽烂。"
不怀,"1.不安。 
2.不爱。 
3.不思念。 
4.不臣服。"
不坏身,1.佛教对诸佛菩萨无生无灭的法身之称。
不患,1.不用担忧。
不皇,"1.同""不遑""。 
2.来不及;没有时间。"
不偟,"1.同""不遑""。"
不遑枚举,1.犹不胜枚举。
不灰木,1.一种耐燃烧的矿物，多指石棉。
不回,1.正直，不行邪僻。
不毇,1.谓舂米不精。
不会,"1.不领会;不知道。 
2.不可能。 
3.谓不以时朝见天子。"
不讳之朝,1.可直言不讳的朝代。谓政治清明之世。
不讳之门,1.犹不讳之路。
不惠,"1.不顺。 
2.不仁德;无德行。 
3.不聪明，愚笨。惠，通""慧""。 
4.谓白痴。"
不获,1.不得，不能。
不获命,"1.婉辞。得不到同意。 
2.不得已。"
不获已,1.不得已。
不惑,①通达，不疑惑知者不惑｜力行而不惑。②《论语·为政》有四十而不惑”句，后借指四十岁不惑之年｜将近不惑之人。
不迹,1.不循法度。
不缉,"1.谓衣不缝边。 
2.不修葺。"
不羁,不受限制、拘束不羁之才｜放浪不羁。
不覊,"1.见""不羁""。"
不及,"1.赶不上;来不及。 
2.不如;比不上。 
3.不到。 
4.犹未达，不识。"
不及秋,1.唐服装名，即短裤。意谓不到秋凉即须易装。
不吉,"1.不善。 
2.不吉利。"
不即,1.不就。
不即不离,"1.佛教语。谓诸法相状虽异而性体则一。 
2.形容既不亲近，也不疏远。"
不极,"1.不寻根究底。 
2.不到极点;不到顶点。 
3.不合中正的准则。 
4.不急。 
5.无穷;无限。"
不急,"1.不切需要。 
2.不急速。"
不急之务,1.无关紧要的事情;不急于做的事情。
不戢,"1.不检束;放纵。 
2.书信用语。不尽之意。"
不集,"1.无成就;不成功。 
2.不栖止。 
3.不齐一，不一致。"
不籍,"1.犹言不劳，不须。籍，通""藉""。"
不几,"1.不盘查。 
2.未近，不到。"
不计其数,1.无法计算数目。形容很多。
不洎,"1.见""不暨""。"
不济,①不渡河临江而不济。②不成功事若不济，老臣死之。③不行；不好精力不济｜命运不济。
不济事,"1.不能成事;不顶用。 
2.病重无救。"
不暨,"1.不与。 
2.不至。"
冬闲,指冬季农事较少（时节）利用～做好室内选种工作。
冬霰,1.冬天空中降落的白色小冰粒。
冬心,1.冬日孤寂凄清的心情。
冬暄,1.谓冬季阳光温暖。
冬学,农民在冬季农闲时学习文化的组织。
冬训,冬季训练篮球队即将投入～。
冬叶,1.即柊叶。直立草本植物。其叶如芭蕉，用以包物。产于云南﹑广西﹑广东等地。
冬衣,冬季穿的御寒的衣服。
冬泳,冬季在江河湖海里游泳～比赛ㄧ不畏严寒，坚持～。
冬羽,1.鸟类于春秋两季更换体表的羽毛。秋季更换的新羽称冬羽。
冬遇,1.谓周朝天子于冬季会见诸侯。
冬月,指农历十一月。
冬运,运输部门指冬季的运输业务。
冬臧,"1.见""冬藏""。"
冬粘,1.方言。晩稻。
冬蛰,冬眠。
冬赈,1.冬季的赈济。
冬至,二十四节气之一，在12月21，22或23日。这一天太阳经过冬至点，北半球白天最短，夜间最长。参看〖节气 〗、〖二十四节气 〗。
冬至点,黄道上最南的一点，冬至这天太阳经过这个位置。
冬至线,南回归线。参看〖回归线 〗。
